"연령별",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"연령별",기대여명(전체) (년),기대여명(남자) (년),기대여명(여자) (년),사망확률(전체),사망확률(남자),사망확률(여자),생존자(전체),생존자(남자),생존자(여자),정지인구(전체),정지인구(남자),정지인구(여자),총생존년수(전체),총생존년수(남자),총생존년수(여자),사망자(전체),사망자(남자),사망자(여자)
"0세",83.7,80.8,86.6,0.00238,0.00261,0.00214,100000,100000,100000,99807,99786,99828,8369302,8080831,8657869,238,261,214
"1세",82.9,80.0,85.8,0.00024,0.00024,0.00024,99762,99739,99786,99750,99726,99774,8269495,7981045,8558041,24,24,24
"2세",81.9,79.0,84.8,0.00017,0.00018,0.00016,99738,99714,99762,99729,99705,99754,8169746,7881319,8458267,17,18,16
"3세",80.9,78.1,83.8,0.00011,0.00013,0.00010,99721,99697,99747,99715,99690,99742,8070016,7781613,8358513,11,13,10
"4세",79.9,77.1,82.8,0.00009,0.00010,0.00008,99710,99684,99737,99705,99679,99733,7970301,7681923,8258771,9,10,8
"5세",78.9,76.1,81.8,0.00008,0.00009,0.00008,99701,99674,99729,99697,99669,99725,7870596,7582244,8159038,8,9,8
"6세",77.9,75.1,80.8,0.00008,0.00008,0.00008,99693,99665,99721,99688,99661,99717,7770899,7482575,8059313,8,8,8
"7세",77.0,74.1,79.8,0.00007,0.00007,0.00008,99684,99657,99713,99681,99653,99709,7671211,7382914,7959596,7,7,8
"8세",76.0,73.1,78.8,0.00006,0.00006,0.00006,99677,99650,99705,99674,99647,99702,7571530,7283261,7859887,6,6,6
"9세",75.0,72.1,77.8,0.00006,0.00006,0.00005,99671,99644,99699,99668,99640,99697,7471856,7183614,7760184,6,6,5
"10세",74.0,71.1,76.8,0.00006,0.00008,0.00005,99665,99637,99694,99662,99633,99692,7372188,7083973,7660488,6,8,5
"11세",73.0,70.1,75.8,0.00008,0.00009,0.00006,99659,99630,99689,99655,99625,99686,7272526,6984340,7560796,8,9,6
"12세",72.0,69.1,74.8,0.00010,0.00012,0.00008,99651,99620,99684,99647,99615,99680,7172871,6884715,7461109,10,11,8
"13세",71.0,68.1,73.9,0.00012,0.00014,0.00011,99642,99609,99676,99636,99602,99671,7073224,6785100,7361430,12,14,11
"14세",70.0,67.1,72.9,0.00015,0.00016,0.00014,99630,99595,99665,99622,99587,99659,6973588,6685499,7261759,15,16,14
"15세",69.0,66.1,71.9,0.00017,0.00018,0.00016,99615,99579,99652,99606,99570,99644,6873966,6585911,7162100,17,18,16
"16세",68.0,65.1,70.9,0.00020,0.00022,0.00019,99598,99561,99636,99587,99550,99626,6774360,6486341,7062457,20,22,19
"17세",67.0,64.2,69.9,0.00023,0.00025,0.00022,99577,99539,99617,99566,99527,99605,6674773,6386792,6962831,23,25,22
