source_group,inscd,insureCd,product_name,sell_open_date,sell_end_date,renewable,kcisInsKcd,prodPbanGrpCd,kliaProdClcd,doc_type_code,doc_type_name,version,pdf_url,content_type,content_length_header,local_file,download_status,download_bytes,version_num,repo_pdf_path
rider,R00810003,R00810,갱신계약보험료할인특약,20230101,99991231,N,,,,P,상품약관,2,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00810003_2_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00810003_2_P_갱신계약보험료할인특약.pdf,downloaded,431233.0,2,features\policy_graph_rag\data\policy_pdfs\R00810003_2_P_갱신계약보험료할인특약.pdf
rider,R00820001,R00820,갱신계약자동갱신안내강화특약,20250401,99991231,N,,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00820001_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00820001_1_P_갱신계약자동갱신안내강화특약.pdf,downloaded,345460.0,1,features\policy_graph_rag\data\policy_pdfs\R00820001_1_P_갱신계약자동갱신안내강화특약.pdf
rider,R00814003,R00814,계약분리특약,20230101,99991231,N,,,,P,상품약관,2,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00814003_2_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00814003_2_P_계약분리특약.pdf,downloaded,410744.0,2,features\policy_graph_rag\data\policy_pdfs\R00814003_2_P_계약분리특약.pdf
rider,R00818001,R00818,군장병실손의료보험중지및재개특약,20240701,99991231,N,,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00818001_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00818001_1_P_군장병실손의료보험중지및재개특약.pdf,downloaded,738304.0,1,features\policy_graph_rag\data\policy_pdfs\R00818001_1_P_군장병실손의료보험중지및재개특약.pdf
rider,R00801014,R00801,라이나단체취급특약,20230101,99991231,N,,,,P,상품약관,2,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00801014_2_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00801014_2_P_라이나단체취급특약.pdf,downloaded,613813.0,2,features\policy_graph_rag\data\policy_pdfs\R00801014_2_P_라이나단체취급특약.pdf
rider,R00807012,R00807,라이나사후정리특약,20230101,99991231,N,,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00807012_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00807012_4_P_라이나사후정리특약.pdf,downloaded,309878.0,4,features\policy_graph_rag\data\policy_pdfs\R00807012_4_P_라이나사후정리특약.pdf
rider,R00803015,R00803,라이나선지급서비스특약,20230101,99991231,N,,,,P,상품약관,3,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00803015_3_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00803015_3_P_라이나선지급서비스특약.pdf,downloaded,655790.0,3,features\policy_graph_rag\data\policy_pdfs\R00803015_3_P_라이나선지급서비스특약.pdf
main,R01549002,R01549,무배당 THE다이나믹통합암진단특약(해약환금금미지급형Ⅱ),20260101,99991231,N,5.0,,,P,상품약관,1,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R01549002_1_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R01549002_1_P_무배당 THE다이나믹통합암진단특약(해약환금금미지급형Ⅱ).pdf,downloaded,590960.0,1,features\policy_graph_rag\data\policy_pdfs\R01549002_1_P_무배당 THE다이나믹통합암진단특약(해약환금금미지급형Ⅱ).pdf
main,B00351005,B00351,무배당 건강검진 걱정없는 미니보험,20260401,99991231,N,3.0,,6.0,P,상품약관,0,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/B00351005_0_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\B00351005_0_P_무배당 건강검진 걱정없는 미니보험.pdf,downloaded,1020738.0,0,features\policy_graph_rag\data\policy_pdfs\B00351005_0_P_무배당 건강검진 걱정없는 미니보험.pdf
main,R00154009,R00154,무배당 다이렉트 7대고액암특약(갱신형),20240401,99991231,Y,5.0,R00154001,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00154009_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00154009_4_P_무배당 다이렉트 7대고액암특약(갱신형).pdf,downloaded,493801.0,4,features\policy_graph_rag\data\policy_pdfs\R00154009_4_P_무배당 다이렉트 7대고액암특약(갱신형).pdf
main,R00578001,R00578,무배당3대암표적항암약물허가치료특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00578001_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00578001_4_P_무배당3대암표적항암약물허가치료특약(갱신형).pdf,downloaded,669081.0,4,features\policy_graph_rag\data\policy_pdfs\R00578001_4_P_무배당3대암표적항암약물허가치료특약(갱신형).pdf
main,R00119010,R00119,무배당7대고액암치료특약(갱신형),20240401,99991231,Y,5.0,,,P,상품약관,4,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00119010_4_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00119010_4_P_무배당7대고액암치료특약(갱신형).pdf,downloaded,517835.0,4,features\policy_graph_rag\data\policy_pdfs\R00119010_4_P_무배당7대고액암치료특약(갱신형).pdf
main,R00635001,R00635,무배당LTC주요질병(치매및뇌혈관질환)상급종합병원통원특약(갱신형),20240902,99991231,Y,6.0,,,P,상품약관,3,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00635001_3_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00635001_3_P_무배당LTC주요질병(치매및뇌혈관질환)상급종합병원통원특약(갱신형).pdf,downloaded,547920.0,3,features\policy_graph_rag\data\policy_pdfs\R00635001_3_P_무배당LTC주요질병(치매및뇌혈관질환)상급종합병원통원특약(갱신형).pdf
main,R00634001,R00634,무배당LTC주요질병(치매및뇌혈관질환)통원특약(갱신형),20240902,99991231,Y,6.0,,,P,상품약관,3,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00634001_3_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00634001_3_P_무배당LTC주요질병(치매및뇌혈관질환)통원특약(갱신형).pdf,downloaded,547106.0,3,features\policy_graph_rag\data\policy_pdfs\R00634001_3_P_무배당LTC주요질병(치매및뇌혈관질환)통원특약(갱신형).pdf
main,R00636002,R00636,무배당LTC주요질병간병인사용입원특약(요양병원제외)(갱신형),20250101,99991231,Y,6.0,,,P,상품약관,3,https://www.lina.co.kr/cms/upload/upload/docs/disclosure/R00636002_3_P.pdf,application/pdf,,outputs\lina_disclosure_pdfs\files\policy\R00636002_3_P_무배당LTC주요질병간병인사용입원특약(요양병원제외)(갱신형).pdf,downloaded,555251.0,3,features\policy_graph_rag\data\policy_pdfs\R00636002_3_P_무배당LTC주요질병간병인사용입원특약(요양병원제외)(갱신형).pdf
